wavenumber,AKD-TPS_20,K2S2O8-starch1
3786.265808,100.994514,100.658344
3784.336992,100.983287,100.623566
3782.408176,100.967802,100.602933
3780.47936,100.879929,100.533952
3778.550544,100.850113,100.561076
3776.621728,100.885138,100.647757
3774.692912,100.922154,100.65318
3772.764096,100.931376,100.64038
3770.83528,100.854188,100.578743
3768.906464,100.756468,100.545282
3766.977648,100.650074,100.453557
3765.048832,100.627982,100.410033
3763.120016,100.71067,100.48928
3761.1912,100.717756,100.494813
3759.262384,100.583373,100.385179
3757.333568,100.509207,100.355079
3755.404752,100.554738,100.357074
3753.475936,100.53904,100.285467
3751.54712,100.275462,100.134692
3749.618304,100.003055,100.042056
3747.689488,99.993306,100.054155
3745.760672,100.063587,100.102459
3743.831856,100.04908,100.175233
3741.90304,99.928224,100.047016
3739.974224,100.029033,100.03022
3738.045408,100.100603,100.041168
3736.116592,99.837447,99.772422
3734.187776,99.58461,99.627387
3732.25896,99.724737,99.823017
3730.330144,100.013525,100.053276
3728.401328,100.199183,100.099044
3726.472512,100.18115,100.069575
3724.543696,100.111999,100.050976
3722.61488,100.101063,100.018592
3720.686064,100.196148,100.087419
3718.757248,100.332404,100.184059
3716.828432,100.53811,100.318559
3714.899616,100.5612,100.322259
3712.9708,100.389074,100.164314
3711.041984,100.152185,100.024483
3709.113168,100.102659,100.033764
3707.184352,100.277136,100.116178
3705.255536,100.456685,100.18372
3703.32672,100.516831,100.228231
3701.397904,100.464809,100.200134
3699.469088,100.456082,100.168944
3697.540272,100.47835,100.129151
3695.611456,100.537138,100.155142
3693.68264,100.544215,100.118994
3691.753824,100.416468,99.977594
3689.825008,100.254993,99.82852
3687.896192,100.211074,99.859862
3685.967376,100.321709,99.95358
3684.03856,100.449968,100.046343
3682.109744,100.538751,100.118888
3680.180928,100.560681,100.113603
3678.252112,100.492048,99.992947
3676.323296,100.28054,99.768953
3674.39448,100.085056,99.637285
3672.465664,100.05852,99.574653
3670.536848,100.022084,99.477286
3668.608032,100.124247,99.603382
3666.679216,100.373852,99.746572
3664.7504,100.586978,99.786279
3662.821584,100.691887,99.82325
3660.892768,100.691573,99.747057
3658.963952,100.667349,99.661397
3657.035136,100.642975,99.586126
3655.10632,100.568319,99.442954
3653.177504,100.51342,99.340184
3651.248688,100.318682,99.11016
3649.319872,99.912117,98.766328
3647.391056,99.673125,98.520686
3645.46224,99.934063,98.614634
3643.533424,100.270536,98.783092
3641.604608,100.449983,98.82169
3639.675792,100.506994,98.765203
3637.746976,100.463435,98.677724
3635.81816,100.403059,98.533989
3633.889344,100.31914,98.367181
3631.960528,100.211721,98.199106
3630.031712,100.045093,98.000012
3628.102896,99.750044,97.773989
3626.17408,99.733112,97.61499
3624.245264,99.998183,97.647127
3622.316448,100.079585,97.590773
3620.387632,99.984076,97.420919
3618.458816,99.864112,97.255956
3616.53,99.754399,97.035376
3614.601184,99.733736,96.896176
3612.672368,99.798543,96.819934
3610.743552,99.848221,96.745078
3608.814736,99.769452,96.56916
3606.88592,99.780303,96.450313
3604.957104,99.865991,96.41698
3603.028288,99.952515,96.355155
3601.099472,99.934091,96.173977
3599.170656,99.858791,95.956267
3597.24184,99.797425,95.782965
3595.313024,99.746116,95.629877
3593.384208,99.732828,95.454093
3591.455392,99.776116,95.3097
3589.526576,99.749264,95.148657
3587.59776,99.612907,94.944791
3585.668944,99.567724,94.829166
3583.740128,99.699871,94.753139
