wavenumber,II1,III11,IV1
1737.863216,85.679127,77.204375,77.966475
1735.9344,85.469576,77.01492,77.85401
1734.005584,85.304527,76.921042,77.980382
1732.076768,85.093908,76.789682,78.433237
1730.147952,85.34083,77.442769,79.509711
1728.219136,85.689587,78.332091,80.897042
1726.29032,86.090832,79.330911,82.350164
1724.361504,86.498134,80.335206,83.743265
1722.432688,86.935149,81.350432,85.134403
1720.503872,87.313803,82.265393,86.260352
1718.575056,87.688124,83.108713,87.142508
1716.64624,87.926564,83.624735,87.935757
1714.717424,88.221945,84.261368,88.85179
1712.788608,88.537917,84.995668,89.732353
1710.859792,88.883371,85.680352,90.464866
1708.930976,89.21143,86.290326,91.065794
1707.00216,89.562785,86.846724,91.535499
1705.073344,89.912723,87.321798,91.956585
1703.144528,90.235604,87.822218,92.466236
1701.215712,90.635073,88.46149,92.930721
1699.286896,91.031888,88.899248,93.302189
1697.35808,91.308085,89.270743,93.669054
1695.429264,91.73778,89.812029,94.166492
1693.500448,92.095651,90.256142,94.735785
1691.571632,92.426012,90.745794,95.167498
1689.642816,92.682998,91.097975,95.387725
1687.714,92.909271,91.331969,95.570486
1685.785184,93.118492,91.558607,95.705314
1683.856368,93.211135,91.541471,95.577075
1681.927552,93.292591,91.569946,95.793147
1679.998736,93.508587,91.856334,96.150596
1678.06992,93.672204,92.044413,96.413489
1676.141104,93.804839,92.151828,96.516329
1674.212288,93.781629,92.031394,96.467413
1672.283472,93.804266,92.028533,96.547986
1670.354656,93.846678,92.020456,96.539803
1668.42584,93.792466,91.850965,96.543453
1666.497024,93.800303,91.842781,96.755633
1664.568208,93.864137,91.925438,96.875269
1662.639392,93.810905,91.796052,96.782319
1660.710576,93.735216,91.611486,96.793504
1658.78176,93.741471,91.588858,96.907637
1656.852944,93.726957,91.539572,96.901711
1654.924128,93.694726,91.486982,96.758297
1652.995312,93.489594,91.088136,96.330533
1651.066496,93.303136,90.682719,96.40033
1649.13768,93.408871,90.862086,96.616145
1647.208864,93.397126,90.8171,96.486497
1645.280048,93.307476,90.564987,96.469679
1643.351232,93.350701,90.62478,96.714698
1641.422416,93.417682,90.69534,96.83151
1639.4936,93.413848,90.632584,96.810967
1637.564784,93.406653,90.585371,96.702417
1635.635968,93.34739,90.391294,96.46341
1633.707152,93.304696,90.199929,96.543791
1631.778336,93.422328,90.33604,96.815273
1629.84952,93.523388,90.435701,96.92014
1627.920704,93.532379,90.390742,96.860127
1625.991888,93.556972,90.345154,96.869174
1624.063072,93.618586,90.363326,96.886463
1622.134256,93.676102,90.315161,96.874723
1620.20544,93.795864,90.395857,97.028052
1618.276624,93.916794,90.537454,97.105601
1616.347808,93.930845,90.470379,96.964383
1614.418992,94.013257,90.461011,97.051461
1612.490176,94.195389,90.662795,97.274828
1610.56136,94.314803,90.77922,97.343303
1608.632544,94.365549,90.825742,97.337681
1606.703728,94.450846,90.901086,97.363299
1604.774912,94.561427,90.997651,97.416843
1602.846096,94.669569,91.107579,97.455987
1600.91728,94.754031,91.231745,97.507499
1598.988464,94.878678,91.409892,97.617825
1597.059648,94.991198,91.558263,97.671541
1595.130832,95.090714,91.682093,97.672602
1593.202016,95.195312,91.824204,97.721562
1591.2732,95.304316,92.000291,97.787376
1589.344384,95.379491,92.148077,97.825831
1587.415568,95.47462,92.30257,97.891811
1585.486752,95.58872,92.476208,97.961322
1583.557936,95.67455,92.628323,97.994673
1581.62912,95.743755,92.748705,98.026847
1579.700304,95.819106,92.869388,98.041558
1577.771488,95.865687,92.96135,97.963671
1575.842672,95.870051,93.016888,97.816799
1573.913856,95.948098,93.135847,97.94663
1571.98504,96.081986,93.345655,98.086306
1570.056224,96.142726,93.429213,97.998803
1568.127408,96.168162,93.493415,97.980897
1566.198592,96.226463,93.652672,98.098133
1564.269776,96.2766,93.785026,98.103398
1562.34096,96.319069,93.883991,98.113735
1560.412144,96.348247,93.922664,97.925454
1558.483328,96.178046,93.678505,97.330912
1556.554512,96.167497,93.836426,97.584327
1554.625696,96.26995,94.081715,97.839079
1552.69688,96.358994,94.290868,97.995443
